segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-2.1,1.1,0.005,14.125000000000808,14.120000000000807,2825,0.03578679584280931,0.06028694400927549,0.12610995002043654,0.8919828089589079,0.46267157391286995,0.02799389958161777,0.5484597705564755,0.9946902654867257,0.0
2,2.1,1.1,14.130000000000809,41.120000000002584,26.990000000001775,5399,0.06286657209880295,0.10571274213447193,0.14579753703065038,0.8783285684727168,0.4554433337939776,0.03319322106101289,0.4979241231786211,0.9040563067234673,0.0
3,2.1,1.52,41.125000000002586,43.040000000003566,1.9150000000009797,384,0.0707414774251536,0.08063470380588668,0.272899464408167,0.8242943809180346,0.4900393305032393,0.004353508929336233,0.5500000000000003,0.7317708333333334,0.0
4,-2.1,1.52,43.04500000000357,69.18500000000957,26.140000000005998,5229,0.06337533115957472,0.10902221184328466,0.16103655211411583,0.8704335739064955,0.48517707597006327,0.033211979334043205,0.5500000000000003,1.0,0.0
5,-2.1,1.94,69.19000000000956,71.10500000000782,1.9149999999982583,384,0.07131292325581527,0.08154463238134008,0.30533769139436984,0.7957135449941585,0.5193146111537522,0.004963710749799957,0.5500000000000003,0.7265625,0.0
6,2.1,1.94,71.11000000000782,96.58999999998464,25.479999999976826,5097,0.06367580223206484,0.1105965241724791,0.17964916084873214,0.8584114992959432,0.5154582088191108,0.034850871297184956,0.5500000000000003,1.0,0.0
7,2.1,2.36,96.59499999998464,98.51999999998289,1.9249999999982492,386,0.07153968227471702,0.08211507059287479,0.3446624291380935,0.7605415588685699,0.5515533582405981,0.005801564811732422,0.5500000000000003,0.727979274611399,0.0
8,-2.1,2.36,98.52499999998288,123.3599999999603,24.834999999977413,4968,0.06374638025442565,0.11397479345039407,0.20325507809316568,0.8415495158990548,0.5508638049411384,0.035641985751997875,0.5500000000000003,1.0,0.0
9,-2.1,2.78,123.36499999996029,125.30999999995852,1.944999999998231,390,0.07087973681939606,0.0818501562140996,0.392424168645776,0.7161986843387366,0.5866521440191967,0.007004926146878339,0.5500000000000003,0.7282051282051282,0.0
10,2.1,2.78,125.31499999995852,149.81999999993624,24.504999999977727,4902,0.06362582050259372,0.11671777839850743,0.23380860728562708,0.8173113955076139,0.5867859931871268,0.037603173620358823,0.5500000000000003,1.0,0.0
11,2.1,3.1999999999999997,149.82499999993624,151.79999999993444,1.9749999999982037,396,0.06936776106187721,0.08059974642834042,0.45061111639811646,0.6601063912006008,0.6247538959453351,0.008785996690383813,0.5500000000000003,0.7272727272727273,0.0
12,-2.1,3.1999999999999997,151.80499999993444,175.96499999991246,24.159999999978027,4833,0.06292074455785572,0.11584858547734243,0.27524232607173504,0.7828258683338647,0.626459694705144,0.03710480890031559,0.5500000000000003,1.0,0.0
13,-2.1,3.6199999999999997,175.96999999991246,177.99499999991062,2.0249999999981583,406,0.06676455981826679,0.07801120615836876,0.5214763671916975,0.5886810888046141,0.6655232682216247,0.0115859612291353,0.5500000000000003,0.729064039408867,0.0
14,2.1,3.6199999999999997,177.9999999999106,202.11499999988868,24.114999999978068,4824,0.06211034417587816,0.11341823584658046,0.3298194880310238,0.7338528361662836,0.6667299882406018,0.03845886119606493,0.5500000000000003,1.0,0.0
15,2.1,4.04,202.11999999988868,204.25499999988673,2.1349999999980582,428,0.061045154100792524,0.07136401744597892,0.6068335755465276,0.5000049635070561,0.7065584870876199,0.01582545160449221,0.5500000000000003,0.7336448598130841,0.0
16,-2.1,4.04,204.25999999988673,229.1299999998641,24.86999999997738,4975,0.061866493460727943,0.12221289737996097,0.3966701298052978,0.6684267477841723,0.7089185703607547,0.042631382922755263,0.5500000000000003,0.984321608040201,0.0
17,-2.1,4.46,229.1349999998641,231.444999999862,2.309999999997899,463,0.0601718373517063,0.06950375466258982,0.7077238466995968,0.3871181683280776,0.7491358429939915,0.02176421116592981,0.5500000000000003,0.7537796976241901,0.0
18,2.1,4.46,231.449999999862,257.4099999998384,25.959999999976418,5193,0.06173016145212707,0.13021181107469262,0.4820768513696432,0.5802318160626418,0.7463242108734397,0.043319496263869356,0.5500000000000003,0.9703446947814366,0.0
19,2.1,4.88,257.4149999998384,260.02999999983604,2.6149999999976217,524,0.05986662827681946,0.07741580745907102,0.8179837232683376,0.25587968545346007,0.7863255334694192,0.030084507393879897,0.5500000000000003,0.7862595419847328,0.0
20,-2.1,4.88,260.03499999983603,286.17999999981225,26.14499999997622,5230,0.06055268182026456,0.12726348248127353,0.6032065387980347,0.45384561835120807,0.7687943802384843,0.05539973750846528,0.5500000000000003,0.9778202676864245,0.01586998087954111
21,-2.1,5.25,286.18499999981225,288.70499999980996,2.519999999997708,505,0.05938172949848826,0.08232543401573886,0.9103923627666141,0.1351092737636836,0.8178194506354376,0.035141697895192954,0.5500000000000003,0.7980198019801981,0.0
22,2.1,5.25,288.70999999980995,322.81999999977893,34.10999999996898,6823,0.11645864616683776,0.20978313331211973,0.7746554061221897,0.2759685962069762,0.8028136407285981,0.10911567515282192,0.19810709102784488,0.301480287263667,0.0630221310274073
23,0.0,2.0,322.8249999997789,351.26499999975306,28.439999999974134,5689,0.06480885815154779,0.10516575543468952,0.32223648678193934,0.6893365903968444,0.7665701189788734,0.032840351795794025,0.5500000000000003,0.9764457725435051,0.0
